,name,payment_modes,locality
0,K K Family Restaurant,"Cash and Cards accepted
Digital payments accepted","Bhosari, Pune"
1,Hotel Bade Miya Chhote Miya,"Cash and Cards accepted
Digital payments accepted","Pimpri, Pune"
2,Paratha Experiment,,"Hinjawadi, Pune"
3,Biryani King,,"Yerawada, Pune"
4,Geets Cakes,"Cash and Cards accepted
Digital payments accepted","Bhosari, Pune"
5,Samarth Wade Wale,"Cash and Cards accepted
Digital payments accepted","Wakad, Pune"
6,The Urban Kadhai,,"Wadgaon Sheri, Pune"
7,Madhuram,,"Hadapsar, Pune"
8,Cafe Pizza Bites,"
Digital payments accepted","Katraj, Pune"
9,Behrouz Biryani,,"Viman Nagar, Pune"
10,Captain Gravy & Juicewale LLP,,"Pune University, Pune"
11,Hungry Foodies,"
Digital payments accepted","Pimpri, Pune"
12,Vishnu Bhel Center,,"Karve Nagar, Pune"
13,Olive Garden Restaurant And Bar,"Cash and Cards accepted
Digital payments accepted","Bhosari, Pune"
14,Dragon Fire,"
Digital payments accepted","Wadgaon Sheri, Pune"
15,Bikkgane Biryani,,"Hinjawadi, Pune"
16,Cheesiano Pizza,"Cash and Cards accepted
Digital payments accepted","Pimple Saudagar, Pune"
17,Veg Momo Point,,"Viman Nagar, Pune"
18,Eateria - The Foodie's Place,,"Pimple Saudagar, Pune"
19,Sharvaree Restaurant,Cash and Cards accepted,"Parichay Hotel, FC Road, Pune"
20,Veg Tables,"
Digital payments accepted","NIBM Road, Pune"
21,The Cupcake Story ,,"Wadgaon Sheri, Pune"
22,Daiwong,"Cash and Cards accepted
Digital payments accepted","Viman Nagar, Pune"
23,Cafe Chokolade,,"Hadapsar, Pune"
24,Ideal Restaurant,,"Akurdi, Pune"
25,1000 Oaks,Cash and Cards accepted,"East Street, Pune"
26,Annapurna Rasoi,"Cash and Cards accepted
Digital payments accepted","Rasta Peth, Pune"
27,Cakes 4 U FNP Cakes N More,,"NIBM Road, Pune"
28,Momo Monk,,"Wagholi, Pune"
29,Jai Ganesh Choupati,"
Digital payments accepted","Pimple Nilakh, Pune"
30,Barista,Cash and Cards accepted,"City Hub @ WTC, Kharadi, Pune"
31,Hotel Arogyam's,,"Mundhwa, Pune"
32,Maratha Samrat,Cash and Cards accepted,"Baner, Pune"
33,The Creamy Land,"
Digital payments accepted","Aundh, Pune"
34,Kouzina Kafe - The Food Court,,"Wakad, Pune"
35,Mad Momos,,"Pimple Saudagar, Pune"
36,The Brooklyn Creamery - Healthy Ice Cream,,"Shivaji Nagar, Pune"
37,Biryanibad,"
Digital payments accepted","Katraj, Pune"
38,Cakes N Cakes,,"Chandan Nagar, Pune"
39,Ya Basa-The Dhaba,"Cash and Cards accepted
Digital payments accepted","Baner, Pune"
40,Lali's Kitchen Food With Love,"
Digital payments accepted","Kharadi, Pune"
41,Itss Yummyy,"Cash and Cards accepted
Digital payments accepted","Erandwane, Pune"
42,Bowls Of India,,"Baner, Pune"
43,Burreatoss,,"Koregaon Park, Pune"
44,Shree Swami Samartha Tea And Coffee Center,,"Sus, Pune"
45,Khaolite,"Cash and Cards accepted
Digital payments accepted","Wadgaon Sheri, Pune"
46,The Pho Truck,"Cash and Cards accepted
Digital payments accepted","Baner, Pune"
47,Big Loaf Sandwich,,"Karve Nagar, Pune"
48,WS Bakers,"Cash and Cards accepted
Digital payments accepted","Rasta Peth, Pune"
49,The Black Plate,"Cash and Cards accepted
Digital payments accepted","Sinhgad Road, Pune"
50,Hotel Surya Biryani House,"Cash and Cards accepted
Digital payments accepted","Kothrud, Pune"
51,Zion Shawarma,,"Pimple Gurav, Pune"
52,Bengolis Kitchen,,"Lohegaon, Pune"
53,Ashu Home Food,,"Wakad, Pune"
54,Kolhapuri Zanzanit Pahunchar,"Cash and Cards accepted
Digital payments accepted","Chinchwad, Pune"
55,Spice Roots,"Cash and Cards accepted
Digital payments accepted","Bavdhan, Pune"
56,The Biryani Life,,"Kharadi, Pune"
57,Mayuri Enterprises,"
Digital payments accepted","Hinjawadi, Pune"
58,Al Nayaab,"
Digital payments accepted","Camp Area, Pune"
59,Tandoori Singh,,"Rasta Peth, Pune"
60,Yollops,"Cash and Cards accepted
Digital payments accepted","Kothrud, Pune"
61,Merwans Cake Stop ,"
Digital payments accepted","Balewadi, Pune"
62,Zara Family Restaurant,,"Hadapsar, Pune"
63,Upvas Ghar,,"Hadapsar, Pune"
64,Al-Hifazat Kabab's & Caterers,"Cash and Cards accepted
Digital payments accepted","Yerawada, Pune"
65,Biggies Burger,,"Wakad, Pune"
66,Kurry Masala,,"Pimpri, Pune"
67,Daily Bakes By Nine Square,"
Digital payments accepted","Yerawada, Pune"
68,Kokan Katta Restaurant,"Cash and Cards accepted
Digital payments accepted","Sadashiv Peth, Pune"
69,Agile Hyderabadi Dum Biryani,,"Hadapsar, Pune"
70,Salad Grills,,"Kalyani Nagar, Pune"
71,Hotel Jai Bhavani,"Cash and Cards accepted
Digital payments accepted","Wagholi, Pune"
72,Hotel New Pune Residency,"Cash and Cards accepted
Digital payments accepted","Chinchwad, Pune"
73,Shree Ganpati Bhuvan,,"Shivaji Nagar, Pune"
74,Domino's Pizza,"Cash, Cards and Meal Coupons accepted
Digital payments accepted","Pimple Gurav, Pune"
75,Surve's Pure Non-Veg,"Cash and Cards accepted
Digital payments accepted","Viman Nagar, Pune"
76,Fish Curry Rice,Cash and Cards accepted,"Kothrud, Pune"
77,La Cherie,,"Parvati, Pune"
78,Faasos,,"Kharadi, Pune"
79,Vedant Pavbhaji,,"Hadapsar, Pune"
80,Momo's Wala Cafe,"
Digital payments accepted","Akurdi, Pune"
81,Hotel Real Taste,"
Digital payments accepted","Kondhwa, Pune"
82,King's Resto Bar,Cash and Cards accepted,"East Street, Pune"
83,Balaji Bhel And Farsan,"Cash and Cards accepted
Digital payments accepted","Karve Nagar, Pune"
84,Radhesai Thalipeeth House,"
Digital payments accepted","Akurdi, Pune"
85,Dexter’s Shakes And Salads,,"Bavdhan, Pune"
86,Burger N More,,"Phursungi, Pune"
87,Sai Kok-Pa Chinese,Cash and Cards accepted,"Kothrud, Pune"
88,Tandoor Point,,"Expressway, Pune"
89,Navratri Meals By LunchBox,,"Kharadi, Pune"
90,Khandeshi Darbar,"Cash and Cards accepted
Digital payments accepted","Baner, Pune"
91,Royal Chinese,,"Kondhwa, Pune"
92,Iyengars Veedu,,"Pimple Gurav, Pune"
93,Pizza Zaika Cafe,"
Digital payments accepted","Hadapsar, Pune"
94,Hotel Kokanratna Sea Food Family Resto,"Cash and Cards accepted
Digital payments accepted","Satara Road, Pune"
95,Vishwa Food And Coffee House,"
Digital payments accepted","Hadapsar, Pune"
96,Hotel Al Zaika,"Cash, Cards and Meal Coupons accepted","Viman Nagar, Pune"
97,Shegaon Kachori,,"Bhosari, Pune"
98,Bhoga,,"Kondhwa, Pune"
99,Domino's Pizza,Cash and Cards accepted,"Hotel Kalasagar, Pimpri, Pune"
100,Café De Conta,"
Digital payments accepted","NIBM Road, Pune"
101,Apsara Ice Creams,,"Bavdhan, Pune"
102,Opyum,"
Digital payments accepted","Bavdhan, Pune"
103,Poona Food Truck,Cash and Cards accepted,"Senapati Bapat Road, Pune"
104,Pizza On Way,,"Undri, Pune"
105,Chinese Culture,,"Undri, Pune"
106,Kulcha From Amritsar,,"Magarpatta, Pune"
107,Kinara,Cash and Cards accepted,"Katraj, Pune"
108,Kathentik,,"Swargate, Pune"
109,Hotel Harsha,"Cash and Cards accepted
Digital payments accepted","Dange Chowk, Pune"
110,Daily Belly Food Shack,,"Nigdi, Pune"
111,TN59 Taste Of Madurai,"
Digital payments accepted","Hadapsar, Pune"
112,Hotel Shivraj,"Cash and Cards accepted
Digital payments accepted","Mundhwa, Pune"
113,Cafe Corner,"
Digital payments accepted","Balewadi, Pune"
114,Kia's Café ,"
Digital payments accepted","Chinchwad, Pune"
115,Kekiz The Cake Shop,,"Sadashiv Peth, Pune"
116,Swaad-E-Hyderabad,,"Baner, Pune"
117,Behrouz Biryani,,"Ravet, Pune"
118,Pizza Mania,,"Wagholi, Pune"
119,The Irani Cafe,"Cash and Cards accepted
Digital payments accepted","Turning Point 2, Viman Nagar , Pune"
120,Dacdenil's Burger,,"Hinjawadi, Pune"
121,Modern Sweets,"
Digital payments accepted","Sinhgad Road, Pune"
122,Cafe Rolls Inn,"
Digital payments accepted","Koregaon Park, Pune"
123,KNS,"
Digital payments accepted","Pimpri, Pune"
124,Itminaan Biryani - Dum Pukht,,"Bund Garden Road, Pune"
125,Paratha Pind Da,,"Westend Mall, Aundh, Pune"
126,Ashapuri Dining Hall,"Cash and Cards accepted
Digital payments accepted","Pimple Nilakh, Pune"
127,Crustbusters,,"Baner, Pune"
128,Cafe Roberto,"Cash and Cards accepted
Digital payments accepted","Seasons Mall, Magarpatta , Pune"
129,Biryanibad,,"Katraj, Pune"
130,Navratri Meals by LunchBox,,"Wadgaon Sheri, Pune"
131,Masterchef,,"Wakad, Pune"
132,Tandoor Point,,"Kondhwa, Pune"
133,Masters Biryani N Grill,,"Bavdhan, Pune"
134,Frozen Bottle,"Cash and Cards accepted
Digital payments accepted","Hinjawadi, Pune"
135,Code - The Speakeasy Bar,"
Digital payments accepted","Kothrud, Pune"
136,Jagdamb Veg - Non Veg Snacks Center,,"Pimple Gurav, Pune"
137,Hotel DK,"Cash and Cards accepted
Digital payments accepted","Talawade, Pune"
138,Jalebi Experiment,,"Kothrud, Pune"
139,Sumadhu Pure Veg,Cash and Cards accepted,"Sinhgad Road, Pune"
140,Yess Pizza,,"Kharadi, Pune"
141,SLAY Coffee,,"Aundh, Pune"
142,Sujata's Maharashtrian Food,,"Dhanori, Pune"
143,Hari Om Juice bar,"
Digital payments accepted","Sinhgad Road, Pune"
144,Roll Time,,"Hadapsar, Pune"
145,Hotel Saudagar,"Cash, Cards and Meal Coupons accepted
Digital payments accepted","Pimple Saudagar, Pune"
146,Circle Of Crust,"
Digital payments accepted","Phoenix Market City, Viman Nagar, Pune"
147,The Big Bang Burger,"
Digital payments accepted","Kondhwa, Pune"
148,Chinese Karkhana,,"Pimple Saudagar, Pune"
149,Goodluck Cafe,"
Digital payments accepted","Sinhgad Road, Pune"
150,Gandarree Veg Treat,"Cash and Cards accepted
Digital payments accepted","Nigdi, Pune"
151,Chai Point,Cash and Cards accepted,"Magarpatta, Pune"
152,Keventers Milkshakes and Desserts,Cash and Cards accepted,"Salunkhe Vihar Road, Pune"
153,Confection Connection,,"Pimple Saudagar, Pune"
154,Double Tea Cafe,,"Kondhwa, Pune"
155,New Salt & Pepper Chinese Restaurant,"
Digital payments accepted","Sadashiv Peth, Pune"
156,Burgerella,,"NIBM Road, Pune"
157,Shawarma House,"Cash and Cards accepted
Digital payments accepted","Balewadi, Pune"
158,Nutriroots Juice Bar,"
Digital payments accepted","Baner, Pune"
159,Classic Kitchen,,"Kondhwa, Pune"
160,"Wraps, Rolls & Bowls",,"Kothrud, Pune"
161,7 Brio Chinese,,"Bhosari, Pune"
162,Biggies Burger,"Cash and Cards accepted
Digital payments accepted","Kothrud, Pune"
163,Firangi Bake,,"Karve Nagar, Pune"
164,Madurai Idly Shop,,"Kharadi, Pune"
165,Mughal Rasoi,,"Bibvewadi, Pune"
166,Eatsome,"Cash, Cards and Meal Coupons accepted
Digital payments accepted","Wakad, Pune"
167,Gitanjali Paratha House,"
Digital payments accepted","Sadashiv Peth, Pune"
168,Ganesh Bhel,"
Digital payments accepted","Kothrud, Pune"
169,The Cakes Basket,,"Chinchwad, Pune"
170,Nandu's Parathas,"Cash and Cards accepted
Digital payments accepted","Dhole Patil Road, Pune"
171,Mr And Mrs Idly,"
Digital payments accepted","Chinchwad, Pune"
172,Roofdine,,"Viman Nagar, Pune"
173,Sairaj Roll's House,,"Hinjawadi, Pune"
174,Meal Bowl,,"Kothrud, Pune"
175,The Royal Kitchen,"Cash and Cards accepted
Digital payments accepted","Chinchwad, Pune"
176,Uncle's Chinese,Cash and Cards accepted,"Viman Nagar, Pune"
177,Arabian Nights,,"Balewadi, Pune"
178,Cafe Finale,,"FC Road, Pune"
179,Meltish - The Cheese Cafe,"Cash and Cards accepted
Digital payments accepted","Aundh, Pune"
180,Raju Sandwich,,"Wadgaon Sheri, Pune"
181,Kwality Wall’s Frozen Dessert and Ice Cream Shop,,"Mundhwa, Pune"
182,Mukul's Eastern Spice,"
Digital payments accepted","Pimple Gurav, Pune"
183,Bheega Bites,,"Bhugaon, Pune"
184,Swad E Sindh,,"Pimple Gurav, Pune"
185,Healthy Elite,,"Hadapsar, Pune"
186,Chinese Food Court,,"Kondhwa, Pune"
187,TRP - The Rooftop Project,"Cash and Cards accepted
Digital payments accepted","MG Road, Pune"
188,Laxmi Ice Cream Parlour,,"Pimpri, Pune"
189,Dal Kichadi Wala,,"Viman Nagar, Pune"
190,Lockdown Cafe & Bistro,"Cash and Cards accepted
Digital payments accepted","Bavdhan, Pune"
191,Shubham Pure Veg,"Cash and Cards accepted
Digital payments accepted","JM Road, Pune"
192,Hotel Namaskar,"
Digital payments accepted","Baner, Pune"
193,SK Chinese,"
Digital payments accepted","Katraj, Pune"
194,Speeeeeza,"
Digital payments accepted","Chinchwad, Pune"
195,Wrapp It,Cash and Cards accepted,"Baner, Pune"
196,Pizza Ville,,"Swargate, Pune"
197,NH1 Bowls - Highway To North,,"Baner, Pune"
198,Rolling Stove,,"Kothrud, Pune"
199,The Hideout Cafe,"
Digital payments accepted","Pimple Gurav, Pune"
200,Navabs Of Biryani,,"Karve Nagar, Pune"
201,Charcoal Eats - Biryani & Beyond,"
Digital payments accepted","Pimple Saudagar, Pune"
202,Bake Junction,,"Wagholi, Pune"
203,Jija Pure Veg,"Cash and Cards accepted
Digital payments accepted","Sadashiv Peth, Pune"
204,Galave Gulacha Chaha,"
Digital payments accepted","Pune-Solapur Road, Pune"
205,First Choice Snacks & Cafe,,"Karve Nagar, Pune"
206,Chandani Chowk Wale Paronthe,,"Wakad, Pune"
207,Al Hebabi,,"Kharadi, Pune"
208,The Biryani Life,,"Bavdhan, Pune"
209,Mauryaa Multi Cuisine Restaurant And Bar,"Cash and Cards accepted
Digital payments accepted","Erandwane, Pune"
210,Shivalini Chinese,"
Digital payments accepted","Sadashiv Peth, Pune"
211,Rajdhani Juice,,"Akurdi, Pune"
212,Kannu Ki Chai,,"Pimple Saudagar, Pune"
213,Shakezone,,"Kondhwa, Pune"
214,SPOT 9 - Family Resto Bar,"Cash and Cards accepted
Digital payments accepted","Bhosari, Pune"
215,Barometer,"Cash and Cards accepted
Digital payments accepted","Kothrud, Pune"
216,Swad Milap,"
Digital payments accepted","Hadapsar, Pune"
217,Sharda Bhel,"
Digital payments accepted","Bibvewadi, Pune"
218,Sambar Pure Veg,"Cash and Cards accepted
Digital payments accepted","Dhole Patil Road, Pune"
219,Connaught Kitchen,,"Wadgaon Sheri, Pune"
220,Baker's Basket,"Cash and Cards accepted
Digital payments accepted","Kalyani Nagar, Pune"
221,Chinese Castle,"
Digital payments accepted","Viman Nagar, Pune"
222,Easy Life Food Factory ,,"Pimpri, Pune"
223,Hungrysta,,"Wakad, Pune"
224,Hotel Maharaja,"
Digital payments accepted","Narhe, Pune"
225,The Royal Biryani House,,"Kharadi, Pune"
226,Manali Cool Club,"
Digital payments accepted","Satara Road, Pune"
227,Dilli Di Rasoi,,"Chinchwad, Pune"
228,Piya's Pavbhaji,,"Wagholi, Pune"
229,Non Veg Tadka,"
Digital payments accepted","Ravet, Pune"
230,Laziz Caterers,,"Kondhwa, Pune"
231,Cafe Durga,"
Digital payments accepted","Erandwane, Pune"
232,New Durga Biryani House,"Cash and Cards accepted
Digital payments accepted","Hadapsar, Pune"
233,AnR Chinese Food,,"Talawade, Pune"
234,Goldy's Burger,,"Pimpri, Pune"
235,Maharaja Biryani,,"Katraj, Pune"
236,Global Ninja - By Global Punjab,,"Kharadi, Pune"
237,Navale Icon Cafe,"
Digital payments accepted","Narhe, Pune"
238,Healthy Diet Adda,,"Hinjawadi, Pune"
239,Hotel Vishwa,"Cash and Cards accepted
Digital payments accepted","Sadashiv Peth, Pune"
240,Fat Stacks,,"Kondhwa, Pune"
241,Crazy momos,"Cash and Cards accepted
Digital payments accepted","Bavdhan, Pune"
242,Ramdev Dhaba Pure Veg Family Restaurants,"
Digital payments accepted","Wakad, Pune"
243,The Dessert Heaven,,"Kothrud, Pune"
244,LunchBox - Meals and Thalis,,"NIBM Road, Pune"
245,The Little Punjab,"Cash and Cards accepted
Digital payments accepted","Sinhgad Road, Pune"
246,Ostaadi,"
Digital payments accepted","Kondhwa, Pune"
247,Ishan Pure Veg,"Cash and Cards accepted
Digital payments accepted","Shivaji Nagar, Pune"
248,Garib Nawaj Dum Biryani House,"
Digital payments accepted","Shivane, Pune"
249,AB's - Absolute Barbecues,"Cash and Cards accepted
Digital payments accepted","Mariplex Mall, Kalyani Nagar, Pune"
250,La Plaza Pizza,,"Nigdi, Pune"
251,Ashoka Chinese & Fast Food Corner,"Cash and Cards accepted
Digital payments accepted","Chinchwad, Pune"
252,The Burger Park,,"Bibvewadi, Pune"
253,Burger 69 & More,,"Salunkhe Vihar Road, Pune"
254,Hotel Jai Malhar,"Cash and Cards accepted
Digital payments accepted","Pimpri, Pune"
255,Hotel Devasa,"Cash and Cards accepted
Digital payments accepted","Akurdi, Pune"
256,Burgiess,,"Nigdi, Pune"
257,Bridge Point,"Cash and Cards accepted
Digital payments accepted","Ravet, Pune"
258,BB's Chinese,,"Yerawada, Pune"
259,Ruchkar Kitchen,,"Wakad, Pune"
260,East Pizza Co.,"
Digital payments accepted","Kharadi, Pune"
261,Jalsa Biryani,"
Digital payments accepted","Narhe, Pune"
262,Bhujbal Bandhu - Hotel Apulki,"Cash and Cards accepted
Digital payments accepted","Kharadi, Pune"
263,Nawabi Zaika,,"Viman Nagar, Pune"
264,Domino's Pizza,"Cash, Cards and Meal Coupons accepted","Viman Nagar, Pune"
265,Paradisse Biryani,"Cash and Cards accepted
Digital payments accepted","Pimpri, Pune"
266,24 NB Kitchen,,"Katraj, Pune"
267,Hotel Pune,,"Camp Area, Pune"
268,Chinese Corner,"
Digital payments accepted","Warje, Pune"
269,Royal  Darbar,,"Kondhwa, Pune"
270,Mealful Rolls - Meals In A Roll,,"Wakad, Pune"
271,The Cake Box ,"
Digital payments accepted","Wagholi, Pune"
272,Govinda's Chats,"
Digital payments accepted","Kharadi, Pune"
273,Bake N Grill,"
Digital payments accepted","Sadashiv Peth, Pune"
274,Rollsz,"Cash and Cards accepted
Digital payments accepted","Pimple Saudagar, Pune"
275,Cream California,,"FC Road, Pune"
276,Rajbhog Foods,,"Pimple Saudagar, Pune"
277,The Burger Project,,"Pimple Gurav, Pune"
278,The Sugar Free Keto Kafe - By Artinci,,"Kothrud, Pune"
279,Tanuja Coffee Shop,,"Bibvewadi, Pune"
280,Neha's Yummy Cafe,"Cash and Cards accepted
Digital payments accepted","Shaniwar Peth, Pune"
281,Celestine Multi Cuisine Restaurant,"Cash and Cards accepted
Digital payments accepted","Salunkhe Vihar Road, Pune"
282,Shri Chandra Biryani House,,"Baner, Pune"
283,AFC,"Cash, Cards and Meal Coupons accepted
Digital payments accepted","Shoppers Orbit, Vishrantwadi, Pune"
284,Burger King,"Cash and Cards accepted
Digital payments accepted","Hinjawadi, Pune"
285,Hotel Leaf,"
Digital payments accepted","Chinchwad, Pune"
286,400° The Wood Fired Pizzeria,"Cash and Cards accepted
Digital payments accepted","Aundh, Pune"
287,Bread Story,Cash and Cards accepted,"Viman Nagar, Pune"
288,Vaishali,"Cash and Cards accepted
Digital payments accepted","FC Road, Pune"
289,Gourmand Eatery,"
Digital payments accepted","Senapati Bapat Road, Pune"
290,Cuk Nuk 24,"
Digital payments accepted","Karve Nagar, Pune"
291,Spiceso Restaurant,"Cash and Cards accepted
Digital payments accepted","Warje, Pune"
292,Express By ABS,,"Hinjawadi, Pune"
293,Kwality Wall’s Frozen Dessert and Ice Cream Shop,,"Parvati, Pune"
294,Brew For You,Cash and Cards accepted,"Baner, Pune"
295,Blue Stone Family Restro Bar,Cash and Cards accepted,"Nigdi, Pune"
296,Bombay Pav Bhaji,,"Wanowrie, Pune"
297,Pizza Hut,"Cash, Cards and Meal Coupons accepted
Digital payments accepted","Aundh, Pune"
298,Surprise India - Cakes & Desserts,,"Bibvewadi, Pune"
299,Snack Eat,,"Pimple Gurav, Pune"
300,Nrh-Badshahi,,"Tilak Road, Pune"
301,Jenny's Brownies,,"Wakad, Pune"
302,PK Chinese Corner,,"Chandan Nagar, Pune"
303,Swad Biryani House,,"Chinchwad, Pune"
304,Ankur Pavbhaji,,"Satara Road, Pune"
305,Ashraf Snacks Centre,,"East Street, Pune"
306,Burger Nation,,"NIBM Road, Pune"
307,China Xpress,,"Magarpatta, Pune"
308,Bapat Misal Corner,,"Wakad, Pune"
309,Darjeeling Momos and Chicken Shawarma,,"Bavdhan, Pune"
310,Mr. Chopsy,,"Balewadi, Pune"
311,Chao Mung China,,"Baner, Pune"
312,S Kumar Wadewale,,"Hadapsar, Pune"
313,GetAWhey - Healthy Ice Creams,,"Hinjawadi, Pune"
314,McCafe by McDonald's,,"Satara Road, Pune"
315,Ching Chong Asian,,"Wakad, Pune"
316,Crazy Cheesy,"Cash and Cards accepted
Digital payments accepted","Sadashiv Peth, Pune"
317,The Biryani Life,,"Camp Area, Pune"
318,Fusion Bistro & Grill,Cash and Cards accepted,"NIBM Road, Pune"
319,Garden Court,"Cash and Cards accepted
Digital payments accepted","Bavdhan, Pune"
320,Surabhi,Cash and Cards accepted,"Bavdhan, Pune"
321,Nimrah Biryani House,,"Khadki, Pune"
322,Treat Studio,"
Digital payments accepted","Shivaji Nagar, Pune"
323,Pizza @ 149,,"Undri, Pune"
324,Great State Dive,"Cash and Cards accepted
Digital payments accepted","Koregaon Park, Pune"
325,Nilima's Kitchen by Nimo Spices,,"Yerawada, Pune"
326,Kekiz The Cake shop,,"Pimple Saudagar, Pune"
327,Cake Culture,,"Baner, Pune"
328,Cafe Al-Muhsi,"
Digital payments accepted","Kondhwa, Pune"
329,Blue Buddies Cafe Bar & Snack Hub,,"Narhe, Pune"
330,Golden Dragon,"
Digital payments accepted","Kothrud, Pune"
331,Sri Murlidhar Veg Thali,"
Digital payments accepted","Sadashiv Peth, Pune"
332,China House,,"Sinhgad Road, Pune"
333,SR Chinese,"
Digital payments accepted","Katraj, Pune"
334,Bread Bash,"
Digital payments accepted","Pimpri, Pune"
335,R K Restaurant,Cash and Cards accepted,"Lohegaon, Pune"
336,MH 12 Pav Bhaji,"Cash and Cards accepted
Digital payments accepted","Hadapsar, Pune"
337,The Market - The Westin Pune,Cash and Cards accepted,"The Westin, Mundhwa, Pune"
338,Bowlsome,,"Wadgaon Sheri, Pune"
339,Malang Biryani,,"Baner, Pune"
340,The Verandah,"Cash and Cards accepted
Digital payments accepted","Erandwane, Pune"
341,Kwality Wall’s Frozen Dessert and Ice Cream Shop,,"Bavdhan, Pune"
342,BOX8 - Desi Meals,,"Dhayari, Pune"
343,Saar,,"Shukrawar Peth, Pune"
344,Hotel Vakratund,,"Wagholi, Pune"
345,Mickey's Burger,,"Bhosari, Pune"
346,Eagle Brother's Pizza,"Cash and Cards accepted
Digital payments accepted","Kharadi, Pune"
347,Krishna Bikaner Sweets,,"Sinhgad Road, Pune"
348,Thorat's Baarbeque Misal,"
Digital payments accepted","Kharadi, Pune"
349,Litti Bites,,"Dhanori, Pune"
350,Moonlight Bakery,,"Shivaji Nagar, Pune"
351,Khandesh Katta,"
Digital payments accepted","Pimple Saudagar, Pune"
352,Lai Bhari Home Food,,"Wagholi, Pune"
353,Patna Litti Chokha,,"Wakad, Pune"
354,Sankar’s Banana Leaf,"
Digital payments accepted","Viman Nagar, Pune"
355,Shawarma Treat,,"Lohegaon, Pune"
356,Hotel Bengali,,"Baner, Pune"
357,Master Chef,,"Chakan, Pune"
358,Sahil Family Resto Bar,"Cash and Cards accepted
Digital payments accepted","Pimpri, Pune"
359,Kaveri Sea Food,"Cash and Cards accepted
Digital payments accepted","Warje, Pune"
360,Home Made Meal Box,,"Akurdi, Pune"
361,Rice Curry Roti,"
Digital payments accepted","Pashan, Pune"
362,Desi Flavours,"
Digital payments accepted","Aundh, Pune"
363,Italy Via Punjab,"Cash and Cards accepted
Digital payments accepted","Baner, Pune"
364,Baker's Hut,"Cash and Cards accepted
Digital payments accepted","Nigdi, Pune"
365,Burger Mania,,"Wadgaon Sheri, Pune"
366,House Of Wadapav,,"Wadgaon Sheri, Pune"
367,Burger King,"Cash and Cards accepted
Digital payments accepted","Hadapsar, Pune"
368,Biryani Trip,,"Narhe, Pune"
369,Swaraj Food House,,"Hadapsar, Pune"
370,Millies Cookies,"Cash and Cards accepted
Digital payments accepted","The Pavillion, Senapati Bapat Road, Pune"
371,Bombay Juice Bar and Chinese Spot,,"Bibvewadi, Pune"
372,Yonies - Good Vibes & Pizzas,,"Koregaon Park, Pune"
373,Hyderabad Darbar,,"Baner, Pune"
374,Big Bites,,"Hadapsar, Pune"
375,Gandharv Fast Food,"
Digital payments accepted","Dhankawadi, Pune"
376,House Of Mandarin,Cash and Cards accepted,"Sheraton Grand, Bund Garden Road, Pune"
377,Mumbai Darbar,,"Chinchwad, Pune"
378,Annapurna Pure Veg,"
Digital payments accepted","Wakad, Pune"
379,Cafe India,"Cash and Cards accepted
Digital payments accepted","Kondhwa, Pune"
380,Aarya's Chinese Corner,"
Digital payments accepted","Bavdhan, Pune"
381,Vardayini Pure Veg,"Cash and Cards accepted
Digital payments accepted","Bavdhan, Pune"
382,Rao Chaha & Rahul Wadewale,"
Digital payments accepted","Kharadi, Pune"
383,Kakke Da Paratha,"
Digital payments accepted","Wakad, Pune"
384,The Biryani Life,,"Pimple Saudagar, Pune"
385,Hotel Chul Mutton,"Cash and Cards accepted
Digital payments accepted","Erandwane, Pune"
386,Iddos,"
Digital payments accepted","Kothrud, Pune"
387,SnackEat,,"Nigdi, Pune"
388,D K Khan Caterers,"
Digital payments accepted","Kharadi, Pune"
389,Choice Momo,,"Chinchwad, Pune"
390,Baker's Basket,,"Hadapsar, Pune"
391,Toss Pizzeria,,"Bibvewadi, Pune"
392,Italian Cafe,,"Kharadi, Pune"
393,Momo's Corrner,"
Digital payments accepted","Koregaon Park, Pune"
394,Shivshambhu Tiffin,,"Hadapsar, Pune"
395,AK Restaurant,"
Digital payments accepted","Camp Area, Pune"
396,Sai Chinese Center,,"Kothrud, Pune"
397,Kadak Misal,"
Digital payments accepted","Kothrud, Pune"
398,Chinese Spices,,"Kharadi, Pune"
399,Chaand's Butter Chicken,,"Viman Nagar, Pune"
400,NIC - Natural Ice Creams,,"Katraj, Pune"
401,Cafe Creme,,"Pimpri, Pune"
402,Shawarma Junction And Roll's,"
Digital payments accepted","Lohegaon, Pune"
403,Vaijnath Veg Non Veg,,"Pimpri, Pune"
404,Arambha Veg- Non Veg,,"Bhosari, Pune"
405,Punjabi Rasoi,,"Dhanori, Pune"
406,HOPP-House Of Pavs & Pakodas,"Cash and Cards accepted
Digital payments accepted","Mundhwa, Pune"
407,Mandarin Oak- The Heavenly Chinese,,"Mundhwa, Pune"
408,Biryani House,,"Nigdi, Pune"
409,The Biryani Life,,"Wakad, Pune"
410,Venky's Xprs,"Cash and Cards accepted
Digital payments accepted","FC Road, Pune"
411,Sardar G,,"Koregaon Park, Pune"
412,NH1 Bowls - Highway To North,,"Magarpatta, Pune"
413,Supreme Restaurant Bar,"Cash and Cards accepted
Digital payments accepted","Pimpri, Pune"
414,Paratha King,"Cash and Cards accepted
Digital payments accepted","Wakad, Pune"
415,Hyderabadi Zaika,"
Digital payments accepted","Chandan Nagar, Pune"
416,Slyders,,"Wadgaon Sheri, Pune"
417,Barkat Tandoor House,,"Narhe, Pune"
