,name,payment_modes,locality
51,Kebab And Biryani Company,,"Wakad, Pune"
52,Cafe Bethesda,"
Digital payments accepted","Undri, Pune"
53,Delhi Chaap Express,,"Wakad, Pune"
54,AR's Kitchen,,"Sinhgad Road, Pune"
55,Qfc Restaurant,,"Dhanori, Pune"
56,Barista,"Cash, Cards and Meal Coupons accepted","Camp Area, Pune"
57,RK Foods,,"Hadapsar, Pune"
58,Pizza Bytes,,"Kharadi, Pune"
59,Hotel Shri Mahadeva,"Cash and Cards accepted
Digital payments accepted","Pimpri, Pune"
60,Hotel Sai,"
Digital payments accepted","Talawade, Pune"
61,Masaledar Biryani House,"
Digital payments accepted","Sadashiv Peth, Pune"
62,Chinese Hot Corner,"
Digital payments accepted","Hinjawadi, Pune"
63,Hotel Khandesh,"Cash and Cards accepted
Digital payments accepted","Pashan, Pune"
64,Mr. Sarkar Cafe,,"Katraj, Pune"
65,Hotel Malabar,,"Viman Nagar, Pune"
66,The Hindu Bakery  And Cafe,,"Sadashiv Peth, Pune"
67,Shawarma Republic,"
Digital payments accepted","Baner, Pune"
68,New Uppala,"Cash and Cards accepted
Digital payments accepted","Wadgaon Sheri, Pune"
69,Gossip Cafe,"Cash and Debit Cards accepted
Digital payments accepted","Kondhwa, Pune"
70,Athavan,"Cash and Cards accepted
Digital payments accepted","Dange Chowk, Pune"
71,Gokul,,"Wadgaon Sheri, Pune"
72,Hyderabadi Biryani Place,"Cash and Cards accepted
Digital payments accepted","Kharadi, Pune"
73,Yedeshwari Hotel,,"Karve Nagar, Pune"
74,Hotel Gokul,"Cash and Cards accepted
Digital payments accepted","Bhosari, Pune"
75,Hashtag Hunger,"
Digital payments accepted","Kondhwa, Pune"
76,Ancient Hyderabad,"Cash and Cards accepted
Digital payments accepted","Hinjawadi, Pune"
77,Combo King,,"Chinchwad, Pune"
78,Open Window Cafe Bistro,"Cash and Cards accepted
Digital payments accepted","Shivaji Nagar, Pune"
79,Madhav's Katta,"Cash and Cards accepted
Digital payments accepted","Sinhgad Road, Pune"
80,Hotel Lucky Point,"Cash and Cards accepted
Digital payments accepted","Akurdi, Pune"
81,Veg Embassy,,"Aundh, Pune"
82,Sri Murlidhar Veg Thali,"
Digital payments accepted","Sadashiv Peth, Pune"
83,One Bite Tiffin,,"Koregaon Park, Pune"
84,Haldiram's,,"Amanora Town Centre, Hadapsar, Pune"
85,Dad's Kitchen,,"Wadgaon Sheri, Pune"
86,Orange Cafe,"Cash and Cards accepted
Digital payments accepted","Pimple Saudagar, Pune"
87,Budget Thalis,,"Pimple Gurav, Pune"
88,Zende Misal,"
Digital payments accepted","Pimple Saudagar, Pune"
89,Cafe2,,"Chinchwad, Pune"
90,Sanjivani Ice Cream,,"Nigdi, Pune"
91,Starbucks Coffee,"Cash and Cards accepted
Digital payments accepted","The Pavillion, Senapati Bapat Road, Pune"
92,Cakes & Balloons,,"Karve Nagar, Pune"
93,Kuku Grill,"
Digital payments accepted","Kharadi, Pune"
94,Tossin Pizza,"
Digital payments accepted","Baner, Pune"
95,Suruchi Pure Veg,"
Digital payments accepted","Swargate, Pune"
96,Hotel Kokan Kolhapuri,"Cash and Cards accepted
Digital payments accepted","Chinchwad, Pune"
97,Mankar Dosa,"
Digital payments accepted","Kothrud, Pune"
98,Kwality Wall’s Frozen Dessert And Ice Cream Shop,,"Aundh, Pune"
99,Hotel Rooftop Family Restaurant,"
Digital payments accepted","Dhayari, Pune"
100,Faasos,,"Karve Nagar, Pune"
101,It's Mirchi - Ramee Grand Hotel,"Cash and Cards accepted
Digital payments accepted","The Ramee Grand Hotel, Shivaji Nagar, Pune"
102,Switch Deli & Kitchen,,"Wadgaon Sheri, Pune"
103,Cafe Crazy Lovers,"
Digital payments accepted","Akurdi, Pune"
104,Mahadev Dining Hall,"
Digital payments accepted","Hinjawadi, Pune"
105,DM Cafe,,"Aundh, Pune"
106,Navratri Meals by LunchBox,,"Shaniwar Peth, Pune"
107,Living Food,"
Digital payments accepted","Viman Nagar, Pune"
108,Burgiess,,"Nigdi, Pune"
109,Celestine Multi Cuisine Restaurant,"Cash and Cards accepted
Digital payments accepted","Salunkhe Vihar Road, Pune"
110,Nandu's Parathas,"Cash and Cards accepted
Digital payments accepted","Dhole Patil Road, Pune"
111,Samadhan Lunch Home,"
Digital payments accepted","Kharadi, Pune"
112,RocoMamas,"Cash and Cards accepted
Digital payments accepted","Kharadi, Pune"
113,Nirankar Raswanti And Juice,,"Dange Chowk, Pune"
114,Authentic Royal,"Cash and Cards accepted
Digital payments accepted","Destination Centre, Magarpatta, Pune"
115,GLOBO Ice Creams Of The World,,"Aundh, Pune"
116,MOJO Pizza - 2X Toppings,,"Bavdhan, Pune"
117,Hotel Shivshankar,"Cash and Cards accepted
Digital payments accepted","Hinjawadi, Pune"
118,Hari Om Juice Bar,,"Hadapsar, Pune"
119,Chicken Peddler,,"Hadapsar, Pune"
120,Dhangar Wada - Mutton Bhakari,,"Akurdi, Pune"
121,Burger House,"
Digital payments accepted","Kharadi, Pune"
122,Mandarin Oak- The Heavenly Chinese,,"Pimple Nilakh, Pune"
123,B'Creamy,"
Digital payments accepted","Viman Nagar, Pune"
124,Matoshri Bhel,"Cash and Cards accepted
Digital payments accepted","Shivane, Pune"
125,Khana Khajana,"Cash and Cards accepted
Digital payments accepted","NIBM Road, Pune"
126,China Express,Cash and Cards accepted,"Phoenix Market City, Viman Nagar, Pune"
127,Hotel Shree Yash,"Cash and Cards accepted
Digital payments accepted","Bhosari, Pune"
128,Tibetan Special Momos,"
Digital payments accepted","Salunkhe Vihar Road, Pune"
129,Spice King,,"Ravet, Pune"
130,Mahesh Kitchen,,"Pimple Saudagar, Pune"
131,Malashree Pure Veg,"Cash and Cards accepted
Digital payments accepted","Pimpri, Pune"
132,Marwadi Jalebi Junction,"
Digital payments accepted","Warje, Pune"
133,Senorita's Mexican Kitchen,,"Balewadi, Pune"
134,Whistle Podu,,"Pimple Nilakh, Pune"
135,Khatta Meetha Khawab,,"Balewadi, Pune"
136,Hite Bar,"Cash and Cards accepted
Digital payments accepted","Hadapsar, Pune"
137,LunchBox - Meals and Thalis,,"NIBM Road, Pune"
138,Baba Biryani,"Cash and Cards accepted
Digital payments accepted","Yerawada, Pune"
139,Amul Ice Cream Parlour And Cafe,"
Digital payments accepted","Wakad, Pune"
140,Aai - Tulja Bhawani foods,,"Hadapsar, Pune"
141,Sai Sagar Ice Creme Parlour,,"Pimpri, Pune"
142,Aruna's Kitchen,"
Digital payments accepted","Baner, Pune"
143,Sanman Cakery & Foods,,"Pimple Gurav, Pune"
144,The Good Bowl,,"Kharadi, Pune"
145,GetAWhey - Healthy Ice Cream,,"Pimple Saudagar, Pune"
146,Rao Chaha & Rahul Wadewale,,"Camp Area, Pune"
147,MOJO Pizza - 2X Toppings,,"Kharadi, Pune"
148,Foodelicious,,"Viman Nagar, Pune"
149,Shreeji Ice Cream,"
Digital payments accepted","Bibvewadi, Pune"
150,The Bengal Club,,"Viman Nagar, Pune"
151,The Shawarma,,"Aundh, Pune"
152,Hotel Muttonaval,,"Kharadi, Pune"
153,Paradise Family Restaurant,"Cash and Cards accepted
Digital payments accepted","Kharadi, Pune"
154,Hotel Public Place,,"Yerawada, Pune"
155,House Of Momos,"
Digital payments accepted","Nigdi, Pune"
156,Indian Panini House,,"Nigdi, Pune"
157,7th Heaven,Cash and Cards accepted,"Hadapsar, Pune"
158,Mallu Stories,"
Digital payments accepted","Dhole Patil Road, Pune"
159,Shree Shetkari Chaha,,"Ghorpadi, Pune"
160,Sairat Biryani,"
Digital payments accepted","Aundh, Pune"
161,Lost Recipes,"Cash and Cards accepted
Digital payments accepted","Wakad, Pune"
162,Rollsta,,"Magarpatta, Pune"
163,Janai Fast Foods,,"Pashan, Pune"
164,Coffee Nation,"
Digital payments accepted","Shivaji Nagar, Pune"
165,Dexter’s Shakes And Salads,,"Bavdhan, Pune"
166,Girme Wadewale,"
Digital payments accepted","Magarpatta, Pune"
167,Goldy Da Dhaba,,"Baner, Pune"
168,Hotel Famous Al-kuresh Latur Special Biryani,"
Digital payments accepted","Sadashiv Peth, Pune"
169,Kerala Cafe,Cash and Cards accepted,"Kalyani Nagar, Pune"
170,Rohit Coffee Corner,"
Digital payments accepted","Sadashiv Peth, Pune"
171,Om Sai Dosa,,"Nigdi, Pune"
172,Kannu Ki Chai,"Cash and Cards accepted
Digital payments accepted","FC Road, Pune"
173,Mommys Kitchen,,"Yerawada, Pune"
174,Punjab Kitchen,"
Digital payments accepted","Hadapsar, Pune"
175,Quick Bites,,"Karve Nagar, Pune"
176,Apsara Ice Creams,,"Bavdhan, Pune"
177,Navaratana Veg,"Cash, Cards and Meal Coupons accepted","Parvati, Pune"
178,De Bakers Lounge,"Cash and Cards accepted
Digital payments accepted","Balewadi, Pune"
179,Beijing Bites,,"Bavdhan, Pune"
180,Mad Over Chicken,,"Viman Nagar, Pune"
181,Taste Unlock,"
Digital payments accepted","Aundh, Pune"
182,Hotel Raghav Veg Nonveg,,"Wakad, Pune"
183,Cherry on Top,,"Dange Chowk, Pune"
184,Vidarbhi Jayaka,,"Wadgaon Sheri, Pune"
185,Saurabh Ice Cream Parlor,"
Digital payments accepted","Dhanori, Pune"
186,Shree Balaji Sandwiches,,"Rasta Peth, Pune"
187,KFC,"Cash and Cards accepted
Digital payments accepted","Kumar Pacific Mall, Swargate, Pune"
188,Paaji's Paratha House,,"Hadapsar, Pune"
189,Persian Aroma,,"Undri, Pune"
190,Sujata Mastani,"
Digital payments accepted","Rasta Peth, Pune"
191,Mothers Canteen,,"Narhe, Pune"
192,Biryani By Kilo,,"Kharadi, Pune"
193,Agra Bites,,"Kondhwa, Pune"
194,Maratha Samrat,"Cash and Cards accepted
Digital payments accepted","Kothrud, Pune"
195,Raju Thali,,"Koregaon Park, Pune"
196,Cake The Fairy,,"Magarpatta, Pune"
197,Naadbramha Idli,,"Dhankawadi, Pune"
198,Ting Tongue,,"Baner, Pune"
199,Chalu Chinese,"
Digital payments accepted","Kharadi, Pune"
200,Cafe Coffee ABK,"Cash and Cards accepted
Digital payments accepted","Kharadi, Pune"
201,WS Bakers,,"Bavdhan, Pune"
202,Waghere Yancha Ranmala,"Cash and Cards accepted
Digital payments accepted","Chinchwad, Pune"
203,Shama Bhosle's Lazeez Biryani,,"Sadashiv Peth, Pune"
204,The Bean Cafe And Pizza House,"
Digital payments accepted","Pimpri, Pune"
205,Cady Chinese,"
Digital payments accepted","Kharadi, Pune"
206,RSMG Tasty Cake & Ice Cream,,"Pimpri, Pune"
207,Fakkad Foods,"
Digital payments accepted","Karve Nagar, Pune"
208,Ganesh bhel,,"Wakad, Pune"
209,Ram Krishna,Cash and Cards accepted,"Camp Area, Pune"
210,Kekiz The Cake Shop,"Cash and Cards accepted
Digital payments accepted","Kothrud, Pune"
211,Dine Wise,"Cash and Cards accepted
Digital payments accepted","Karve Nagar, Pune"
212,Food Junction,,"Erandwane, Pune"
213,Chitale Xpress ,"
Digital payments accepted","Kharadi, Pune"
214,Rayalaseema Reddy's Restaurant,"Cash and Cards accepted
Digital payments accepted","Viman Nagar, Pune"
215,McDonald's,"Cash, Cards and Meal Coupons accepted","Hinjawadi, Pune"
216,Garden Of  Eat'N,"
Digital payments accepted","Wakad, Pune"
217,Effingut,"Cash and Cards accepted
Digital payments accepted","Baner, Pune"
218,S.K Catering Service,,"Hadapsar, Pune"
219,Ithoba Misal,"
Digital payments accepted","Satara Road, Pune"
220,Nashta,,"Pimpri, Pune"
221,Itminaan Biryani - Dum Pukht,,"Wanowrie, Pune"
222,Cafe Creamy Nuts,"Cash and Cards accepted
Digital payments accepted","Pimple Nilakh, Pune"
223,Wholesome Meals,,"Kothrud, Pune"
224,Makhni Brothers,,"Kharadi, Pune"
225,Hyderabadi Zaika Caterers,"
Digital payments accepted","Pimple Gurav, Pune"
226,Vikas Snacks Corner,"
Digital payments accepted","Wanowrie, Pune"
227,Khichdi Experiment,,"Kothrud, Pune"
228,Meera Food,,"Pune-Solapur Road, Pune"
229,KNS,"
Digital payments accepted","MG Road, Pune"
230,Jalebi Junction,,"Viman Nagar, Pune"
231,Cafe Magic Of Taste,"
Digital payments accepted","Sinhgad Road, Pune"
232,EDP Family Restaurant,"Cash and Cards accepted
Digital payments accepted","NIBM Road, Pune"
233,Vintage Kitchen,,"Hadapsar, Pune"
234,Trushna,"Cash and Cards accepted
Digital payments accepted","Sadashiv Peth, Pune"
235,Euphoria Grill,,"Pimple Saudagar, Pune"
236,K 9 The Schezwan Restaurant,Cash and Cards accepted,"Viman Nagar, Pune"
237,Raj Mandir Ice Cream,,"Magarpatta, Pune"
238,Mad Over Donuts,"Cash and Cards accepted
Digital payments accepted","Kumar Pacific Mall, Swargate, Pune"
239,Kokani Aaswad,,"Bavdhan, Pune"
240,Atharva Eggs Corner,Cash and Cards accepted,"Tilak Road, Pune"
241,De Baillio,"Cash and Cards accepted
Digital payments accepted","Baner, Pune"
242,Kouzina Kafe - The Food Court,,"Kharadi, Pune"
243,Gareeb Nawaj Caterers,,"Warje, Pune"
244,Pind Da Tadka,,"Chandan Nagar, Pune"
245,5th Cafe,"
Digital payments accepted","Pimple Saudagar, Pune"
246,Swad MH 14,,"Wakad, Pune"
247,Hero Sandwiches,,"Magarpatta, Pune"
248,Hotel Bhigwan Special Machi Khanawal,,"Bibvewadi, Pune"
249,Bedekar Tea Stall,"Cash and Cards accepted
Digital payments accepted","Sadashiv Peth, Pune"
250,Cheezy,"
Digital payments accepted","Kharadi, Pune"
251,Baker's Basket,,"Balewadi, Pune"
252,Garma Garam Foods,"
Digital payments accepted","Wakad, Pune"
253,Biryani Vibes,,"Kharadi, Pune"
254,Indiana Burgers,,"Kothrud, Pune"
255,The Momo Co,"
Digital payments accepted","Pimpri, Pune"
256,Turque - Sayaji Hotel,Cash and Cards accepted,"Sayaji Hotels, Wakad, Pune"
257,Prajwal Caterers,,"Senapati Bapat Road, Pune"
258,Samruddhi Fast Food,"
Digital payments accepted","Hadapsar, Pune"
259,Retox,"Cash and Cards accepted
Digital payments accepted","Erandwane, Pune"
260,Sudama Bhel,"
Digital payments accepted","Kharadi, Pune"
261,Chinese Corner,"
Digital payments accepted","Warje, Pune"
262,Ghee and Turmeric,,"Wadgaon Sheri, Pune"
263,Non Veg Tadka,"Cash and Cards accepted
Digital payments accepted","Pimpri, Pune"
264,Om Paratha House,,"Kothrud, Pune"
265,Khandesh Gavran Express,,"Dhankawadi, Pune"
266,Monginis,Cash and Cards accepted,"Chinchwad, Pune"
267,Breakfast And Lunch House,,"Dhanori, Pune"
268,Moonlight Chinese,,"Kondhwa, Pune"
269,Circle Of Crust,,"Magarpatta, Pune"
270,China Park,Cash and Cards accepted,"Koregaon Park, Pune"
271,Hotel Shivraj,"Cash and Cards accepted
Digital payments accepted","Mundhwa, Pune"
272,Captain Rolls,,"Wadgaon Sheri, Pune"
273,Kolhapuri Mirchi,"
Digital payments accepted","Wanowrie, Pune"
274,Khatri Bandhu Pot Ice Cream,"
Digital payments accepted","Kothrud, Pune"
275,Zakkas,"
Digital payments accepted","Hinjawadi, Pune"
276,Zaika The Pan Shop,,"Kondhwa, Pune"
277,The Pizza Box,"Cash and Cards accepted
Digital payments accepted","Sinhgad Road, Pune"
278,Maharashtra Sandwich,,"Kharadi, Pune"
279,Haldiram's Express,"
Digital payments accepted","Chinchwad, Pune"
280,Starbucks Coffee,"Cash and Cards accepted
Digital payments accepted","Kothrud, Pune"
281,Hungry Panjabi,Cash and Cards accepted,"Salunkhe Vihar Road, Pune"
282,Sabji-Chapati,,"Bavdhan, Pune"
283,The Secret Rasoi,,"Baner, Pune"
284,Hotel Avani Biryani,"
Digital payments accepted","Pune-Solapur Road, Pune"
285,Amritsari Naan House,,"Hadapsar, Pune"
286,KGN Caterers,"
Digital payments accepted","Magarpatta, Pune"
287,Behrouz Biryani,,"Sinhgad Road, Pune"
288,Raaga Imperio,"Cash and Cards accepted
Digital payments accepted","Dange Chowk, Pune"
289,Chotu's Flavours,,"Shukrawar Peth, Pune"
290,Saiji Pavbhaji Center,,"Shukrawar Peth, Pune"
291,Corporate Biryani,"
Digital payments accepted","Hadapsar, Pune"
292,Arihant Hotel,"Cash and Cards accepted
Digital payments accepted","Dange Chowk, Pune"
293,Ribbons And Balloons,"
Digital payments accepted","Pashan, Pune"
294,Lucknow Meri Jaan,Cash and Cards accepted,"Pimple Nilakh, Pune"
295,Madras Idly Shop,,"Wadgaon Sheri, Pune"
296,Cheesy Pizza House,,"Viman Nagar, Pune"
297,Kaka Halwai,,"Aundh, Pune"
298,New Delite Oven Fresh,"
Digital payments accepted","Pashan, Pune"
299,Cafe Dreamland,"
Digital payments accepted","Kothrud, Pune"
300,Chicken Xperience By Venky's,"Cash and Cards accepted
Digital payments accepted","Kondhwa, Pune"
301,New Bombay Sandwich Burger & Pizza,,"Vishrantwadi, Pune"
302,Chai Naashta Junction,"
Digital payments accepted","Aundh, Pune"
303,Nine Square,Cash and Cards accepted,"Pubtown, Creaticity Mall, Yerawada, Pune"
304,Shree Snacks Center And Mess Services,"
Digital payments accepted","Hinjawadi, Pune"
305,Jai Hind Bakery,,"Wanowrie, Pune"
306,Shinde Tea House,,"Sadashiv Peth, Pune"
307,Burger Begum,,"Kothrud, Pune"
308,Puneri Tea And Snacks,,"Bavdhan, Pune"
309,Wack Waffle & Brownies,,"Balewadi, Pune"
310,Mourya Chinese Restaurant ,,"Hadapsar, Pune"
311,Mahaveer Ice Cream And Kulfi Falooda,,"Pimple Saudagar, Pune"
312,Paratha,,"Hadapsar, Pune"
313,Burreatoss,"
Digital payments accepted","FC Road, Pune"
314,Sadguru Krupa Uphar Gruha,"
Digital payments accepted","Kothrud, Pune"
315,Green Salad Company,,"Wadgaon Sheri, Pune"
316,Tales & Spirits - Hunters Bistro,"Cash and Cards accepted
Digital payments accepted","Baner, Pune"
317,Shri Gajanan Kachori,"
Digital payments accepted","Sadashiv Peth, Pune"
318,Marvel Veg Chaap,,"Kharadi, Pune"
319,Shawarma Spot,,"Nigdi, Pune"
320,Laziz Xprs,,"Chandan Nagar, Pune"
321,GLOBO Ice Creams Of The World,,"Dhole Patil Road, Pune"
322,Shree Poushtik Paratha,,"Pimple Gurav, Pune"
323,New Poona Bakery Cafe,"
Digital payments accepted","Warje, Pune"
324,Mango Cake House,,"Wagholi, Pune"
325,Chinese & Biryani House,,"Wakad, Pune"
326,Hotel Sahara,"Cash and Cards accepted
Digital payments accepted","Dange Chowk, Pune"
327,The Quick Wok,,"JM Road, Pune"
328,Subway,"Cash and Cards accepted
Digital payments accepted","City Hub @ WTC, Kharadi, Pune"
329,Flipp'd Burgers & More,Cash and Cards accepted,"Wanowrie, Pune"
330,Lokesh Khakara And Food Products,,"Hadapsar, Pune"
331,Real Sindh Taste,,"Baner, Pune"
332,Jambhale's Food Point,Cash and Cards accepted,"Rasta Peth, Pune"
333,Shri Swami Samarth Foods,,"Hadapsar, Pune"
334,Budget Meals,,"Ravet, Pune"
335,UBQ by Barbeque Nation,,"Magarpatta, Pune"
336,Lockdown Kitchen,,"Kothrud, Pune"
337,Subhanallah Biryani House,,"Camp Area, Pune"
338,Flavours Of Andhra,,"Hinjawadi, Pune"
339,The Burger Project,,"Hadapsar, Pune"
340,Krishna Bikaner Sweets,,"Sinhgad Road, Pune"
341,Supreme Tandoor & Biryani,,"Pimple Saudagar, Pune"
342,Siddhi Veg - Non Veg,"Cash and Cards accepted
Digital payments accepted","Erandwane, Pune"
343,Punjabi Darbar,"Cash and Cards accepted
Digital payments accepted","Magarpatta, Pune"
344,Venkatesh Snacks Center,"
Digital payments accepted","Aundh, Pune"
345,Hotel Raj,,"Hadapsar, Pune"
346,The Chinese Monk,,"Dhankawadi, Pune"
347,Bombay Momo's And Chinese,,"Kothrud, Pune"
348,Lucknow Spice,"Cash and Cards accepted
Digital payments accepted","Kothrud, Pune"
349,Rajdhani Chaat,"Cash and Cards accepted
Digital payments accepted","Akurdi, Pune"
350,Mughals,"Cash and Cards accepted
Digital payments accepted","Kondhwa, Pune"
351,New Sweets Junction,,"Dange Chowk, Pune"
352,Aabacha Dhaba,"
Digital payments accepted","Sadashiv Peth, Pune"
353,Shivam Tandoori Special,"
Digital payments accepted","Pimple Saudagar, Pune"
354,Vanakkam The South Cafe,"Cash and Cards accepted
Digital payments accepted","Sadashiv Peth, Pune"
355,Chinese Mess,,"Wakad, Pune"
356,Global Punjab,"Cash and Cards accepted
Digital payments accepted","Erandwane, Pune"
357,Biryani Zaika,,"Baner, Pune"
358,MyMate,"
Digital payments accepted","Kharadi, Pune"
359,Beijing Bites,,"Balewadi, Pune"
360,CakeStory Desserts,,"Hadapsar, Pune"
361,Kirti Restaurant & Bar,"Cash and Cards accepted
Digital payments accepted","Vishrantwadi, Pune"
362,Kp Chinese Hub,,"Dange Chowk, Pune"
363,Pranav Chinese,"
Digital payments accepted","Warje, Pune"
364,Uptown Burger,,"Pimple Saudagar, Pune"
365,24k Cafe and Juice Bar,,"Undri, Pune"
366,Ganesh Bhel,"
Digital payments accepted","Pashan, Pune"
367,Mauli Bhel Chat & Snacks Center,,"Pimpri, Pune"
368,The Belgian Waffle Co.,Cash and Cards accepted,"Destination Centre, Magarpatta, Pune"
369,Kapila Resorts,"Cash and Cards accepted
Digital payments accepted","Wagholi, Pune"
370,Biryani Wala,,"Hadapsar, Pune"
371,Biryani World,,"Hadapsar, Pune"
372,KGN Xprs,"
Digital payments accepted","Dhayari, Pune"
373,The Sassy Spoon,"Cash and Cards accepted
Digital payments accepted","Koregaon Park, Pune"
374,NH1 Bowls - Highway To North,,"Baner, Pune"
375,Sujata Mastani,,"Bavdhan, Pune"
376,Yolkshire,"Cash, Cards and Meal Coupons accepted
Digital payments accepted","Kothrud, Pune"
377,Nashta Point,"
Digital payments accepted","Akurdi, Pune"
378,China Town,,"Dange Chowk, Pune"
379,Nawabi Zaika,,"Kondhwa, Pune"
380,Prabhu Restaurant,"
Digital payments accepted","Ravet, Pune"
381,Tiranga Bhuvan Kothrud,Cash and Cards accepted,"Kothrud, Pune"
382,Bread Box,,"Kothrud, Pune"
383,Anna Idli,Cash and Cards accepted,"Baner, Pune"
384,Revolution Bakers Cafe,,"Kothrud, Pune"
385,Tandoor King,"
Digital payments accepted","Baner, Pune"
386,Chini Chor,"Cash and Cards accepted
Digital payments accepted","Kharadi, Pune"
387,One Way Foods,"Cash and Cards accepted
Digital payments accepted","Sinhgad Road, Pune"
388,Teri Rajput,"
Digital payments accepted","Koregaon Park, Pune"
389,Nawabi Zaika,,"Bhosari, Pune"
390,Celebration Cakes,,"Hadapsar, Pune"
391,Baba Burger-1,,"Dhanori, Pune"
392,A1 Chinese And Biryani Corner,,"Bavdhan, Pune"
393,Cafe Arabia,Cash and Cards accepted,"Wadgaon Sheri, Pune"
394,Indian Spices,"Cash and Cards accepted
Digital payments accepted","Lohegaon, Pune"
395,Cakes And Balloons,"
Digital payments accepted","Karve Nagar, Pune"
396,Hotel Krishnankita,"Cash and Cards accepted
Digital payments accepted","Chinchwad, Pune"
397,Rolls Mania,"Cash, Cards and Meal Coupons accepted","Pimple Saudagar, Pune"
398,Hotel Arab Zaika,,"Viman Nagar, Pune"
399,Reddy's Biryani Zone,"Cash and Cards accepted
Digital payments accepted","Pimple Nilakh, Pune"
400,Kaka Wadewale,"
Digital payments accepted","Wanowrie, Pune"
401,Famous Anda Bhurji,"
Digital payments accepted","Balewadi, Pune"
402,Hotel Deepal,"
Digital payments accepted","Wagholi, Pune"
403,Sweet Truth - Cake and Desserts,,"Viman Nagar, Pune"
404,Neer Dose (Pride Of Udupi),"
Digital payments accepted","Hinjawadi, Pune"
405,Upwas Uphargruha,,"Nigdi, Pune"
406,Hotel Pushpanjali,"
Digital payments accepted","Chinchwad, Pune"
407,Indore Foods,"
Digital payments accepted","Erandwane, Pune"
408,NIC - Natural Ice Creams,,"Camp Area, Pune"
409,Shree Krishna Pure Veg,"Cash and Cards accepted
Digital payments accepted","Pimple Gurav, Pune"
410,LeanCrust Pizza - ThinCrust Experts,,"Aundh, Pune"
411,Annapurna Khanawal,,"Hadapsar, Pune"
412,Punjab Da Tadka,,"Hadapsar, Pune"
413,Maratha Sindhi Kitchen,"
Digital payments accepted","Dhankawadi, Pune"
414,Chef's Homemade Kitchen,,"Viman Nagar, Pune"
